Paper ID	PaperTitle	AuthorNames
312	Mixed-Effect Thompson Sampling	"Aouali, Imad*; Kveton, Branislav; Katariya, Sumeet"
313	Mixed Linear Regression via Approximate Message Passing	"Tan, Nelvin; Venkataramanan, Ramji*"
316	EEGNN: Edge Enhanced Graph Neural Networks	"Liu, Yirui; Qiao, Xinghao*; Wang, Liying; Lam, Jessica"
318	Estimating Total Correlation with Mutual Information Estimators	"Bai, Ke*; Cheng, Pengyu; Hao, Weituo; Henao, Ricardo; Carin, Larry"
324	Vector Optimization with Stochastic Bandit Feedback	"Ararat, Cagin; Tekin, Cem*"
327	Knowledge Acquisition for Human-In-The-Loop Image Captioning	"Zheng, Ervine; Yu, Qi*; Li, Rui; Shi, Pengcheng; Haake, Anne"
332	A Statistical Analysis of Polyak-Ruppert-Averaged Q-Learning	"Li, Xiang*; Yang, Wenhao; Liang, Jiadong; Zhang, Zhihua; Jordan, Michael"
342	Linear Convergence of Gradient Descent For Overparametrized Finite Width Two-Layer Linear Networks With General Initialization	"Xu, Ziqing*; Min, Hancheng; Tarmoun, Salma; Mallada, Enrique; Vidal, Rene"
345	“Plus/minus the learning rate”: Easy and Scalable Statistical Inference with SGD	"Chee, Jerry*; Kim, Hwanwoo; Toulis, Panos"
346	Distance-to-Set Priors and Constrained Bayesian Inference	"Presman, Rick; Xu, Jason Q*"
347	Fast Computation of Branching Process Transition Probabilities via ADMM	"AWASTHI, ACHAL; Xu, Jason Q*"
349	Error Estimation for Random Fourier Features 	"Yao, Junwen; Erichson, Benjamin; Lopes, Miles E*"
351	AdaGDA: Faster Adaptive Gradient Descent Ascent Methods for Minimax Optimization	"Huang, Feihu*; Wu, Xidong; Hu, Zhengmian"
358	Classification of Adolescents' Risky Behavior in Instant Messaging Conversations	"Plhák, Jaromír*; Sotolář, Ondřej; Lebedíková, Michaela; Šmahel, David"
359	Robust Linear Regression for General Feature Distribution	"Norman, Tom*; Levy, Kfir; Weinberger, Nir; Levy, Kfir Yehuda; Weinberger, Nir"
362	Fair learning with Wasserstein barycenters for non-decomposable performance measures	"Gaucher, Solenne; Schreuder, Nicolas*; Chzhen, Evgenii"
366	Deep Neural Networks with Efficient Guaranteed Invariances	"Rath, Matthias*; Condurache, Alexandru"
367	Fast Block Coordinate Descent for Non-Convex Group Regularizations	"Ida, Yasutoshi*; Kanai, Sekitoshi; Kumagai, Atsutoshi"
368	AUC-based Selective Classification	"Pugnana, Andrea*; Ruggieri, Salvatore"
374	Nonparametric Indirect Active Learning	"Singh, Shashank*"
379	Resolving the Approximability of Offline and Online Non-monotone DR-Submodular Maximization over General Convex Sets	"Mualem, Loay Raed; Feldman, Moran*"
382	\{PF\}$^2$ES: Parallel Feasible Pareto Frontier Entropy Search for Multi-Objective Bayesian Optimization	"Qing, Jixiang*; Moss, Henry B; Dhaene, Tom; Couckuyt, Ivo"
385	Learning Constrained Structured Spaces with Application to Multi-Graph Matching	"Cohen Indelman , Hedda*; Hazan, Tamir"
